gid, height
84, 185.682281
19491, 216.525451
40293, 185.349671
40294, 185.853466
78260, 180.276341
78261, 182.255428
78262, 179.582803
78263, 181.908055
78264, 190.521445
78265, 184.064450
78266, 178.893246
78267, 171.780829
78268, 182.329551
78269, 180.508385
78270, 182.058129
78271, 188.112776
78272, 187.060535
78273, 191.001443
78274, 185.359597
78275, 189.623776
78276, 184.003882
78277, 187.433707
78278, 188.692725
78279, 192.666594
78280, 188.633904
78281, 187.620474
78282, 189.579903
78283, 182.879976
78284, 181.875841
78285, 190.134164
78286, 175.325882
78287, 183.110621
78288, 187.348782
78289, 183.644891
78290, 181.656908
78291, 188.823057
78292, 184.848011
78293, 185.236372
78294, 192.643647
78295, 190.808717
78296, 191.581208
78297, 187.156883
78298, 192.960895
78299, 189.335896
78300, 191.384896
78301, 187.127159
78302, 192.628781
78303, 189.643544
78304, 190.879710
78305, 188.773278
78306, 191.528144
78307, 191.879518
78308, 192.826492
78309, 192.039466
78310, 184.419200
78311, 177.517979
78312, 190.402189
78313, 173.868254
78314, 171.733538
78315, 187.916103
78316, 183.212754
78317, 191.813684
78318, 196.739804
78319, 192.282419
78320, 190.937486
78321, 189.858719
78322, 182.488639
78323, 192.655799
78324, 193.205087
78325, 192.958033
78326, 191.270610
78327, 190.594662
78328, 184.077000
78329, 183.514631
78330, 180.371441
78331, 191.418592
78332, 189.122369
78333, 190.453906
78334, 191.038412
78335, 175.519703
78336, 173.237436
78337, 191.632026
78338, 184.782229
78339, 191.691494
78340, 190.516516
78341, 190.710045
78342, 191.101351
78343, 189.863248
78344, 176.656705
78345, 190.884953
78346, 190.719571
78347, 189.517037
78348, 187.255464
78349, 189.926526
78350, 186.823577
78351, 191.632388
78352, 184.859806
78353, 184.682089
78354, 216.048626
78355, 189.459217
78356, 175.632464
78357, 190.568351
78358, 191.233166
78359, 185.929918
78360, 190.893504
78361, 171.400494
78362, 191.180352
78363, 185.104627
78364, 191.810582
78365, 190.901598
78366, 184.896896
78367, 171.206012
78368, 179.229381
78369, 177.861073
78370, 190.097989
78371, 189.694608
78372, 185.034333
78373, 179.426509
78426, 184.936816
78374, 189.172715
78375, 190.095663
78376, 176.132471
78377, 180.520716
78378, 190.669445
78379, 177.429356
78380, 190.405603
78381, 190.189096
78382, 185.884193
78383, 181.501315
78384, 184.076380
78385, 184.350391
78386, 191.073206
78387, 190.560068
78388, 191.336667
78389, 191.008217
78390, 183.094237
78391, 190.839117
78392, 192.009494
78393, 191.850167
78394, 190.747585
78395, 196.804819
78396, 184.048512
78397, 190.418217
78398, 184.258310
78399, 178.859901
78400, 191.203738
78401, 190.485259
78402, 190.390436
78403, 191.485310
78404, 197.655809
78405, 190.245079
78406, 184.277500
78407, 190.139414
78408, 188.788077
78409, 187.585000
78410, 182.240625
78411, 191.638674
78412, 186.266479
78413, 187.112511
78414, 186.650256
78415, 175.966793
78416, 194.591512
78417, 188.637325
78418, 197.633793
78419, 188.751588
78420, 170.664630
78421, 181.373226
78422, 172.548800
78423, 187.253120
78424, 184.939735
78425, 185.053106
78427, 189.999133
78428, 180.475368
78429, 190.091742
78430, 186.659422
78431, 184.445593
78433, 190.184612
78434, 190.529177
78435, 188.183345
78436, 189.513654
78437, 171.508288
78438, 182.654684
78439, 186.087027
78440, 185.908236
78441, 170.325607
78442, 187.181393
78443, 174.807047
78447, 170.254074
78448, 182.974259
78450, 183.839615
78508, 188.691961
78509, 187.081751
78510, 190.868039
78511, 190.284010
78512, 189.908909
78513, 187.380298
78515, 188.871657
78598, 190.863519
78599, 180.688089
78600, 190.632702
78601, 183.009789
78614, 187.853301
78615, 191.225704
78616, 191.727709
78617, 192.520750
78618, 192.447355
78619, 192.066713
78620, 191.700580
78621, 185.128564
78622, 188.969143
78623, 192.545644
78624, 191.471338
78625, 192.366424
78626, 192.736548
78628, 190.985891
78629, 190.065118
78676, 194.101366
78677, 188.706167
78679, 191.862973
78680, 192.103618
78681, 188.584271
78682, 192.094162
78683, 188.368920
78684, 193.884062
78685, 193.486343
78689, 191.905638
78690, 188.585048
81430, 180.781071
81458, 187.171780
81290, 190.403750
81291, 188.636644
81292, 180.543796
81293, 180.173935
81294, 192.773253
81295, 190.495466
81296, 186.809580
81297, 185.818783
81298, 186.658261
81299, 191.315508
81301, 187.281296
81302, 185.248963
81303, 187.473823
81304, 191.608864
81305, 190.816844
81306, 188.095805
81307, 190.436525
81308, 187.656289
81309, 195.695479
81310, 191.774336
81311, 191.791603
81312, 190.348273
81313, 186.053317
81314, 180.311824
81315, 191.072184
81317, 181.638691
81319, 191.403449
81320, 189.584498
81321, 183.162761
81322, 189.740578
81323, 187.947485
81324, 179.935674
81325, 183.187168
81326, 187.371711
81327, 191.019347
81328, 184.539260
81329, 193.452420
81330, 184.165990
81331, 190.097175
81332, 190.272861
81333, 179.518842
81334, 182.099840
81335, 189.988907
81336, 188.701261
81337, 192.786265
81338, 185.132831
81339, 172.178536
81340, 189.777540
81341, 187.609247
81342, 187.276258
81343, 190.392946
81344, 186.224697
81345, 188.828417
81346, 189.635566
81347, 192.008703
81348, 190.504668
81349, 185.226783
81350, 187.295249
81351, 178.163486
81352, 183.659978
81353, 189.457343
81354, 180.399500
81355, 181.409157
81356, 191.497268
81357, 185.627053
81358, 190.962558
81359, 185.560310
81360, 185.924576
81361, 188.250407
81362, 186.938974
81363, 190.246267
81364, 188.939136
81365, 188.759603
81366, 184.913914
81367, 193.296552
81368, 191.978907
81369, 179.162308
81370, 185.316253
81371, 193.518732
81372, 178.072701
81373, 186.517572
81374, 189.754402
81375, 185.392339
81376, 173.326571
81377, 190.970018
81553, 200.042084
81378, 190.662822
81379, 186.124835
81380, 192.252290
81381, 180.413898
81382, 192.246861
81383, 190.352201
81384, 191.300276
81385, 182.097139
81386, 185.367900
81387, 190.527968
81388, 189.022654
81389, 172.892048
81390, 190.927073
81392, 188.705884
81393, 189.935983
81394, 190.396058
81395, 181.838470
81396, 187.199583
81397, 191.804309
81398, 184.324220
81399, 193.767149
81400, 190.764168
81401, 189.362640
81402, 188.459357
81554, 169.749389
81403, 192.034527
81404, 193.207552
81405, 191.005402
81406, 188.020596
81407, 185.573038
81408, 189.658029
81409, 192.299532
81410, 190.035021
81411, 178.102914
81412, 189.928116
81413, 194.501121
81414, 184.603469
81415, 183.287762
81416, 189.718797
81417, 191.450339
81418, 189.185087
81419, 181.096141
81421, 186.808107
81422, 191.234203
81423, 191.443489
81424, 190.585280
81425, 189.507589
81426, 177.069673
81427, 194.762118
81428, 189.983445
81429, 193.431658
81431, 190.406828
81432, 192.469857
81433, 190.583695
81434, 175.866482
81435, 191.149333
81436, 179.340500
81437, 190.822885
81438, 181.387184
81439, 191.874322
81440, 193.014413
81441, 191.615775
81442, 180.133503
81443, 185.521766
81444, 191.242706
81445, 192.949153
81446, 179.980913
81447, 185.803234
81449, 172.536816
81450, 185.199379
81451, 190.780990
81452, 191.060757
81453, 191.825746
81454, 191.231680
81455, 191.041476
81456, 190.758464
81457, 187.362741
81459, 189.836508
81460, 179.590093
81461, 183.589310
81462, 191.162788
81463, 189.436297
81464, 184.693632
81465, 187.599490
81466, 188.320521
81467, 179.363721
81468, 191.201040
81469, 187.463817
81470, 192.810554
81471, 191.252094
81472, 189.816664
81473, 190.765052
81474, 181.766052
81475, 192.134907
81476, 191.370709
81477, 193.886950
81478, 191.420307
81479, 183.466761
81480, 187.416018
81481, 186.072074
81482, 184.290671
81483, 190.453371
81484, 190.427907
81485, 190.946898
81486, 189.230687
81487, 191.248658
81488, 185.791466
81489, 191.748979
81490, 189.242610
81491, 190.407088
81492, 187.606033
81493, 192.207631
81494, 190.107061
81495, 181.430258
81496, 184.018076
81497, 186.153437
81498, 190.726055
81499, 189.746642
81500, 194.565526
81501, 187.160798
81502, 191.984941
81503, 179.729684
81504, 190.074510
81505, 194.628771
81506, 191.161411
81557, 192.291051
81507, 187.425453
81508, 188.797507
81509, 187.756910
81510, 190.386967
81511, 189.387819
81512, 188.949451
81513, 181.311099
81514, 185.451098
81515, 190.665792
81516, 190.290110
81517, 189.513707
81518, 191.985516
81519, 185.128516
81520, 186.314475
81521, 185.552263
81522, 175.959725
81523, 188.666244
81524, 190.158330
81525, 191.633270
81526, 191.622717
81527, 192.059184
81528, 192.169647
81529, 190.049303
81530, 184.570093
